key,time
l,2390
l,2599
l,2792
l,2975
a,3129
a,3344
a,3551
a,3751
l,3963
k,4090
s,4173
a,4232
l,4361
k,4472
s,4540
a,4648
l,4782
k,4890
s,4980
a,5082
l,5168
k,5277
s,5373
a,5484
a,5649
s,5741
k,5806
l,5914
a,6036
s,6135
k,6233
l,6323
a,6416
s,6533
k,6658
l,6758
a,6863
s,6966
l,7129
k,7243
s,7293
a,7422
l,7594
k,7696
s,7773
a,7880
l,8003
k,8102
s,8188
a,8254
l,8376
k,8478
a,8600
s,8624
l,8801
k,8900
a,8973
s,9085
l,9199
k,9308
a,9387
s,9502
l,9627
k,9740
a,9815
s,9934
l,10033
k,10165
a,10229
s,10357
k,10556
l,10607
s,10745
l,10877
k,10972
a,11091
k,11236
s,11358
l,11504
a,11618
l,11714
k,11825
s,11832
k,11987
s,12094
k,12176
s,12307
l,12375
a,12480
l,12598
a,12680
k,12772
s,12866
k,12958
s,13061
l,13136
a,13248
l,13344
a,13437
k,13507
s,13611
s,13783
s,13980
s,14187
s,14385
s,14589
s,14787
s,14980
