key,time
a,4046
s,4238
k,4425
l,4611
a,4757
s,4915
k,5090
l,5255
a,5412
a,5758
a,6107
a,6443
l,6785
k,6922
s,7155
a,7264
l,7430
k,7587
s,7762
a,7887
l,8082
l,8430
l,8788
l,9077
a,9414
s,9745
k,10075
l,10411
s,10727
k,10740
l,11065
a,11071
s,11395
k,11399
a,11713
l,11720
a,12048
a,12228
l,12404
s,12578
k,12759
a,12919
l,13089
s,13252
a,13433
a,13615
l,13773
s,13945
k,14122
a,14261
l,14431
s,14575
a,14758
a,14934
l,15077
s,15242
k,15404
a,15554
l,15739
s,15908
a,16093
a,16278
l,16419
s,16582
k,16794
a,16925
l,17112
s,17239
a,17431
a,17615
a,17798
a,17960
l,18062
l,18247
l,18420
l,18592
l,18753
k,18908
s,19091
a,19256
l,19432
k,19596
s,19777
a,19898
a,20091
s,20241
k,20420
l,20558
l,20758
k,20886
s,21049
a,21159
a,21362
s,21477
k,21557
l,21645
l,21820
k,21912
s,21978
a,22054
a,22219
s,22276
k,22307
l,22381
l,22573
a,22691
a,22884
a,23070
a,23235
k,23430
k,23604
k,23773
k,23936
s,24044
s,24240
s,24434
s,24592
l,24752
l,24933
l,25125
l,25297
l,25447
k,25583
s,25741
a,25886
a,26086
s,26236
k,26394
l,26520
a,26705
s,26895
k,27053
a,27228
l,27414
s,27564
k,27735
a,27888
l,28052
s,28202
k,28380
a,28537
l,28712
s,28892
k,29047
a,29191
l,29361
s,29512
s,29720
s,29905
l,30077
a,30238
k,30421
s,30556
l,30745
a,30903
k,31094
k,31269
s,31426
l,31597
a,31752
k,31908
s,32064
l,32088
k,32240
a,32428
l,32430
k,32598
s,32753
l,32768
k,32921
a,33081
l,33097
k,33235
s,33394
a,33583
l,33768
s,33922
k,34087
a,34233
l,34402
s,34561
k,34726
a,34903
k,34910
l,35103
s,35255
k,35277
l,35453
a,35588
k,35750
s,35776
l,35906
a,36047
k,36220
s,36376
l,36552
a,36714
k,36891
s,37050
l,37209
a,37375
l,37395
k,37551
a,37734
l,37735
k,37915
l,38100
a,38103
k,38278
a,38446
l,38447
k,38602
s,38772
k,38932
a,39103
l,39259
s,39422
k,39576
a,39737
l,39893
s,40077
k,40087
l,40258
s,40403
k,40426
l,40604
k,40776
s,40779
l,40947
k,41105
s,41114
l,41328
a,41478
k,41557
s,41746
l,41920
a,42071
k,42247
s,42399
l,42552
a,42715
k,42877
s,43049
l,43197
a,43371
s,43546
k,43687
l,43808
s,43995
a,44001
k,44191
a,44364
s,44364
k,44559
a,44708
s,44710
k,44928
s,45103
a,45107
l,45322
k,45346
s,45513
l,45703
k,45714
s,45889
l,46095
k,46102
s,46268
l,46446
k,46456
s,46608
a,46781
k,46929
a,47086
k,47269
a,47416
k,47590
a,47729
k,47915
s,48087
k,48263
s,48417
k,48599
s,48749
k,48907
s,49064
k,49228
l,49408
k,49411
s,49572
l,49755
k,49760
s,49922
l,50093
k,50097
s,50249
l,50417
k,50436
s,50572
k,50739
l,50755
s,50922
l,51102
k,51106
s,51285
l,51421
k,51434
s,51570
l,51728
k,51743
s,51895
l,52062
k,52068
s,52220
a,52230
l,52427
k,52433
s,52588
a,52588
l,52770
k,52776
s,52937
a,52939
l,53102
k,53108
s,53288
a,53294
k,53456
a,53599
s,53604
k,53754
s,53894
a,53901
k,54080
a,54225
s,54229
k,54398
a,54527
s,54533
l,54729
k,54901
s,55061
a,55222
s,55386
k,55538
l,55692
k,55880
s,56037
k,56235
s,56413
k,56597
s,56752
k,56926
s,57072
k,57236
a,57391
s,57567
k,57742
l,57880
s,58064
k,58228
a,58413
s,58568
k,58705
s,58884
k,59068
s,59237
k,59449
s,59611
k,59781
s,59926
l,60071
a,60208
l,60398
a,60536
