key,time
a,4350
a,4535
a,4719
a,4877
l,5044
l,5382
a,5738
a,5917
a,6082
a,6245
l,6405
l,6701
a,7033
s,7365
k,7695
l,8049
a,8377
s,8679
k,9042
l,9383
a,9693
a,10018
l,10375
l,10686
s,11041
s,11378
k,11703
k,12013
a,12314
l,12334
k,12664
s,12672
l,13023
a,13025
s,13363
k,13369
l,13709
l,13879
a,14032
a,14206
l,14362
l,14534
a,14655
a,14829
s,15012
k,15018
a,15336
l,15343
k,15683
s,15693
a,16002
l,16011
s,16350
s,16539
l,16715
l,16880
s,17049
s,17225
l,17380
l,17552
a,17718
k,18027
s,18332
l,18674
l,18993
a,18993
k,19323
s,19336
a,19664
l,19671
s,20009
k,20016
a,20337
k,20350
l,20675
s,20677
a,21003
k,21023
l,21349
s,21356
a,21674
s,21876
k,22035
l,22219
a,22363
s,22551
k,22708
l,22850
a,23021
a,23372
l,23698
l,24029
s,24335
s,24701
a,25034
k,25049
s,25377
l,25383
a,25696
a,26019
l,26377
l,26680
k,27024
k,27347
a,27664
l,27679
k,28027
s,28036
a,28363
a,28706
k,29015
k,29327
s,29660
s,30008
a,30322
l,30337
s,30679
k,30684
a,31003
s,31189
k,31366
l,31546
a,31693
s,31875
k,32034
l,32177
l,32387
l,32528
s,32678
s,32867
l,33023
l,33193
s,33345
s,33516
k,33688
s,33840
k,34041
a,34197
a,34325
l,34404
s,34592
k,34737
s,34867
k,35027
a,35202
k,35376
s,35509
k,35677
a,35845
k,36042
s,36206
k,36388
a,36548
k,36715
s,36883
k,37040
a,37193
k,37373
s,37535
k,37704
a,37858
k,38039
s,38201
l,38369
a,38513
k,38692
s,38842
k,39006
a,39178
k,39368
s,39524
k,39704
a,39846
k,40025
s,40197
k,40371
a,40505
k,40699
s,40838
l,41016
a,41173
k,41366
s,41526
l,41682
k,41874
s,42035
a,42189
l,42378
k,42545
s,42702
a,42836
a,43019
s,43165
k,43353
l,43481
l,43686
k,43847
s,44006
a,44143
a,44316
a,44674
a,44981
a,45331
l,45658
l,46008
l,46348
l,46503
l,46680
l,47014
l,47326
l,47658
l,48007
a,48322
s,48506
k,48675
l,48820
a,48992
k,49160
s,49323
l,49498
a,49685
k,49862
s,50010
l,50161
a,50334
k,50511
s,50672
l,50822
a,50986
a,51185
a,51368
a,51524
l,51683
l,51859
l,52045
l,52195
s,52365
k,52513
a,52678
l,52841
s,52992
k,53159
a,53323
l,53492
a,53644
s,53818
k,54006
l,54174
a,54340
s,54507
k,54675
l,54812
a,54993
a,55344
a,55672
a,56022
k,56294
a,56349
l,56484
a,56688
k,56688
l,56876
a,57025
k,57056
l,57228
a,57372
k,57384
l,57527
a,57677
k,58038
s,58340
l,58666
s,59005
l,59024
a,59187
l,59349
s,59358
a,59528
l,59683
s,59690
a,59850
l,60011
s,60022
a,60185
a,60352
k,60683
s,61010
l,61365
s,61660
k,61672
a,62002
l,62013
s,62348
k,62350
l,62662
a,62666
a,62960
s,63162
k,63339
l,63518
a,63666
s,63846
k,64005
l,64141
l,64359
k,64505
s,64673
a,64818
a,64998
k,65001
s,65166
l,65182
k,65359
l,65474
k,65651
a,65657
l,66002
s,66014
k,66341
a,66357
l,66661
s,66671
k,66999
a,67009
l,67326
s,67345
k,67675
a,67677
s,67998
l,67999
a,68324
k,68335
l,68491
a,68672
k,68674
l,68857
s,69025
k,69026
l,69190
a,69350
k,69357
l,69526
k,69700
l,69874
s,70024
k,70030
l,70209
a,70329
k,70356
l,70535
s,70695
k,70697
l,70850
a,71016
k,71201
s,71351
l,71507
a,71672
k,71849
s,72006
l,72144
a,72315
k,72328
l,72498
s,72659
k,72665
l,72842
k,73006
a,73013
l,73185
s,73333
k,73351
l,73508
a,73678
k,73851
s,74018
l,74182
a,74333
k,74504
s,74669
l,74815
a,75001
k,75012
l,75177
s,75339
k,75344
l,75521
k,75668
a,75674
l,75849
k,76005
s,76014
l,76167
a,76345
k,76517
s,76672
l,76835
a,76993
k,77187
s,77349
l,77545
s,77706
k,77724
l,77894
a,78018
k,78034
l,78199
s,78333
k,78357
l,78518
k,78665
a,78675
l,78843
s,79015
k,79202
a,79353
l,79522
s,79670
k,79848
a,80009
l,80161
s,80331
l,80340
k,80498
a,80663
l,80671
k,80826
s,80992
l,80998
k,81163
a,81322
l,81336
k,81501
s,81655
k,81824
a,81989
l,82161
s,82339
a,82501
a,82689
a,82852
k,83009
s,83160
l,83325
a,83450
k,83655
s,83822
s,83992
s,84175
k,84329
a,84480
l,84651
s,84798
k,84963
k,85159
k,85342
k,85521
l,85689
a,85831
k,86009
s,86161
l,86325
a,86497
k,86688
s,86834
l,86994
a,87132
k,87343
s,87479
l,87670
a,87822
k,88025
s,88166
a,88339
s,88510
k,88675
l,88855
a,89021
s,89184
k,89334
l,89521
a,89678
k,89864
s,90008
l,90188
a,90329
k,90516
s,90684
l,90826
l,91020
k,91162
s,91369
a,91525
l,91709
k,91865
s,92007
a,92167
a,92348
s,92511
k,92660
l,92853
s,93023
k,93200
s,93355
k,93531
s,93665
l,93845
a,94010
k,94204
s,94351
l,94501
a,94662
k,94834
a,94989
a,95376
l,95676
l,95997
k,96317
s,96322
l,96484
s,96657
k,96660
l,96835
k,97006
s,97014
s,97343
s,97671
