key,time
a,2025
s,2235
k,2431
l,2602
s,2927
k,3095
a,3365
l,3649
s,3781
k,4106
a,4227
l,4548
s,4831
k,4994
a,5242
l,5398
l,5716
k,5848
s,6007
a,6127
l,6291
k,6410
s,6569
a,6700
a,6891
a,7177
a,7480
a,7765
l,8042
l,8351
l,8639
l,8904
a,9187
s,9329
k,9482
l,9602
l,9962
s,10101
k,10396
a,10521
l,10674
s,10818
l,11131
a,11265
k,11550
s,11682
l,11822
a,11949
k,12133
s,12264
l,12417
a,12563
s,12759
k,12930
l,13044
s,13209
k,13436
a,13545
s,13847
l,14148
a,14290
k,14589
s,14747
l,15015
a,15345
s,15477
l,15754
a,15878
s,15986
a,16205
l,16476
a,16597
s,16742
l,17046
a,17134
l,17400
a,17661
s,17820
a,18068
s,18222
l,18501
a,18793
s,18934
a,19247
s,19402
l,19685
a,19954
s,20089
a,20375
s,20527
a,20800
s,20894
k,20939
l,21020
a,21113
s,21193
k,21253
l,21341
a,21388
s,21474
k,21556
l,21671
a,21674
s,21768
k,21886
l,21968
a,22005
s,22107
a,22257
a,22510
a,22804
a,23084
a,23395
a,23711
a,23986
a,24256
a,24500
