key,time
a,4566
a,4821
a,4983
l,5294
l,5451
s,5728
k,6000
a,6135
l,6436
s,6562
k,6841
s,6984
k,7151
s,7308
l,7448
a,7543
l,7736
a,7798
k,8008
s,8113
k,8281
s,8446
l,8592
a,8688
l,8868
a,8980
a,9164
s,9286
k,9443
l,9604
a,9755
s,9895
k,10084
l,10212
l,10431
l,10694
l,10989
l,11285
a,11559
k,11588
s,11834
l,11847
a,12103
k,12110
l,12379
s,12402
k,12679
s,12703
k,12968
s,12992
l,13261
a,13267
a,13537
l,13550
s,13859
l,13875
a,14157
k,14169
l,14429
s,14436
a,14727
k,14737
l,15031
s,15073
l,15355
s,15360
a,15639
k,15639
a,15875
k,15911
s,16203
k,16210
l,16492
a,16494
k,16788
s,16788
l,17082
a,17094
a,17373
s,17543
k,17680
l,17821
a,17957
s,18132
k,18256
l,18387
a,18525
a,18822
a,19143
a,19437
l,19715
k,19871
s,20016
a,20149
l,20328
k,20479
s,20614
a,20756
l,20903
l,21083
l,21248
l,21409
a,21559
a,21752
a,21923
a,22068
k,22202
k,22388
k,22545
k,22702
s,22815
s,22982
s,23139
s,23303
l,23443
k,23577
s,23740
a,23866
l,24028
k,24167
s,24316
a,24457
a,24624
s,24742
k,24871
l,24969
a,25120
s,25274
k,25403
l,25492
l,25704
s,25874
a,26020
s,26301
k,26469
l,26569
a,26854
s,27001
l,27140
l,27475
k,27611
s,27760
l,28040
a,28175
k,28359
s,28505
l,28676
a,28823
k,28987
s,29106
l,29247
a,29302
l,29420
a,29469
l,29589
a,29633
a,29761
l,29784
a,29944
l,29951
a,30103
l,30116
l,30258
a,30271
